Date,Price,Open,High,Low,Vol,Change%
28-04-2010,114.3099976,114.0299988,114.9899979,113.6299973,26891900,-0.28
29-04-2010,114.2799988,113.8499985,114.5199966,113.8399963,10374300,-0.03
30-04-2010,115.3600006,115.2600021,115.6999969,115.2099991,13403100,0.95
03-05-2010,115.7300034,115.9100037,116.2799988,115.5299988,13570800,0.32
04-05-2010,114.8700027,116.3899994,116.4300003,114.1699982,21512100,-0.74
05-05-2010,115.0899963,113.5800018,115.2399979,113.3099976,21616700,0.19
06-05-2010,118.4899979,115.6200027,118.6200027,115.5699997,50546300,2.95
07-05-2010,118.2699966,117.6399994,118.8799973,116.7399979,34272700,-0.19
10-05-2010,117.5699997,117.5,117.9000015,116.8099976,28433800,-0.59
11-05-2010,120.6600037,119.4599991,120.8700027,118.9700012,36731800,2.63
12-05-2010,121.4000015,121.2799988,122.2399979,120.7699966,32703600,0.61
13-05-2010,120.5599976,121.2900009,121.7099991,120.0999985,22340400,-0.69
14-05-2010,120.3700027,121.8799973,122.0199966,119.1200027,34643200,-0.16
17-05-2010,119.3600006,120.5500031,121.1200027,119.2900009,27898000,-0.84
18-05-2010,119.4899979,118.8600006,120.3199997,118.5,26595300,0.11
19-05-2010,116.6299973,118.1900024,118.4300003,116.0800018,34412400,-2.39
20-05-2010,115.8399963,116.1399994,116.9499969,115.1800003,28908200,-0.68
21-05-2010,115.2200012,115.0500031,116.2399979,114.5100021,20098300,-0.54
24-05-2010,116.8399963,116.3399963,117.1699982,116.0400009,14300500,1.41
25-05-2010,117.3600006,117.1600037,117.5199966,116.8199997,21232700,0.45
26-05-2010,118.4700012,118.5800018,119.0800018,118.3199997,13153500,0.95
27-05-2010,118.6900024,118.1600037,119.0400009,118.1399994,10418500,0.19
28-05-2010,118.8799973,118.4800034,118.9000015,117.6299973,11579400,0.16
01-06-2010,119.9100037,119.8799973,120.25,119.6299973,12207800,0.87
02-06-2010,119.7799988,119.3499985,119.8799973,118.7200012,10339300,-0.11
03-06-2010,117.9599991,119.1600037,119.3899994,117.4800034,13855200,-1.52
04-06-2010,119.1900024,117.9599991,119.3899994,117.0500031,16532500,1.04
07-06-2010,121.4899979,118.7300034,121.8000031,118.6200027,20238600,1.93
08-06-2010,121,121.6100006,122.4499969,120.6600037,23404800,-0.4
09-06-2010,120.5599976,120.4800034,120.9899979,119.5100021,12884600,-0.36
10-06-2010,118.9700012,119.3600006,120.0400009,118.8300018,13687900,-1.32
11-06-2010,120.0100021,119.8799973,120.4100037,119.3300018,7829400,0.87
14-06-2010,119.5999985,119.6299973,120.2600021,118.9599991,11002800,-0.34
